,row,col,lat,lon,pm_peak
117,56,174,32.710501556,-116.971084732,12.0
118,57,140,32.7214033695,-117.25546862,18.0
119,57,141,32.7214033695,-117.247104388,70.0
120,57,142,32.7214033695,-117.238740156,151.582746479
121,57,143,32.7214033695,-117.230375924,264.0
122,57,144,32.7214033695,-117.222011692,89.0
123,57,145,32.7214033695,-117.21364746,65.0
124,57,146,32.7214033695,-117.205283228,95.0
125,57,147,32.7214033695,-117.196918996,219.0
126,57,149,32.7214033695,-117.180190532,82.905
127,57,150,32.7214033695,-117.1718263,1815.25098592
128,57,151,32.7214033695,-117.163462068,1073.88042254
129,57,152,32.7214033695,-117.155097836,12.0
130,57,153,32.7214033695,-117.146733604,12.0
131,57,154,32.7214033695,-117.138369372,58.0
132,57,155,32.7214033695,-117.13000514,170.028732394
133,57,157,32.7214033695,-117.113276676,70.0
134,57,158,32.7214033695,-117.104912444,18.0
135,57,160,32.7214033695,-117.08818398,77.0
136,57,162,32.7214033695,-117.071455516,12.0
137,57,173,32.7214033695,-116.979448964,12.0
138,57,174,32.7214033695,-116.971084732,24.0
139,58,140,32.732305183,-117.25546862,47.0
140,58,142,32.732305183,-117.238740156,24.0
141,58,143,32.732305183,-117.230375924,124.0
142,58,144,32.732305183,-117.222011692,146.0
143,58,145,32.732305183,-117.21364746,234.0
144,58,146,32.732305183,-117.205283228,89.0
145,58,148,32.732305183,-117.188554764,246.995
146,58,149,32.732305183,-117.180190532,188.46056338
147,58,150,32.732305183,-117.1718263,37.4564788732
148,58,151,32.732305183,-117.163462068,761.811690141
149,58,152,32.732305183,-117.155097836,59.0
150,58,154,32.732305183,-117.138369372,111.032535211
151,58,155,32.732305183,-117.13000514,195.075774648
152,58,158,32.732305183,-117.104912444,60.0
153,58,159,32.732305183,-117.096548212,12.0
154,58,160,32.732305183,-117.08818398,12.0
155,58,161,32.732305183,-117.079819748,58.0
156,58,163,32.732305183,-117.063091284,48.0
157,58,164,32.732305183,-117.054727052,48.0
158,58,166,32.732305183,-117.037998588,64.0
159,58,167,32.732305183,-117.029634356,23.0
160,58,173,32.732305183,-116.979448964,12.0
161,59,140,32.7432069965,-117.25546862,896.0
162,59,141,32.7432069965,-117.247104388,241.0
163,59,142,32.7432069965,-117.238740156,42.0
164,59,143,32.7432069965,-117.230375924,84.0
165,59,144,32.7432069965,-117.222011692,89.0
166,59,145,32.7432069965,-117.21364746,670.0
167,59,146,32.7432069965,-117.205283228,343.0
168,59,147,32.7432069965,-117.196918996,394.0
169,59,148,32.7432069965,-117.188554764,191.486408451
170,59,149,32.7432069965,-117.180190532,77.8290140845
171,59,150,32.7432069965,-117.1718263,443.781690141
172,59,151,32.7432069965,-117.163462068,2776.64450704
173,59,152,32.7432069965,-117.155097836,858.727957746
174,59,153,32.7432069965,-117.146733604,236.065704225
175,59,154,32.7432069965,-117.138369372,398.0
176,59,155,32.7432069965,-117.13000514,553.0
177,59,156,32.7432069965,-117.121640908,117.0
178,59,157,32.7432069965,-117.113276676,234.0
179,59,158,32.7432069965,-117.104912444,190.0
180,59,159,32.7432069965,-117.096548212,240.0
181,59,160,32.7432069965,-117.08818398,12.0
182,59,161,32.7432069965,-117.079819748,128.0
183,59,162,32.7432069965,-117.071455516,123.0
184,59,163,32.7432069965,-117.063091284,53.0
185,59,171,32.7432069965,-116.996177428,12.0
186,59,175,32.7432069965,-116.9627205,18.0
187,59,180,32.7432069965,-116.92089934,12.0
188,60,142,32.75410881,-117.238740156,12.0
189,60,143,32.75410881,-117.230375924,70.0
190,60,144,32.75410881,-117.222011692,220.0
191,60,145,32.75410881,-117.21364746,99.0
192,60,146,32.75410881,-117.205283228,282.0
193,60,147,32.75410881,-117.196918996,71.0
194,60,148,32.75410881,-117.188554764,23.0
195,60,149,32.75410881,-117.180190532,18.0
196,60,150,32.75410881,-117.1718263,23.0
197,60,151,32.75410881,-117.163462068,65.0
198,60,152,32.75410881,-117.155097836,38.490915493
199,60,153,32.75410881,-117.146733604,770.709084507
200,60,154,32.75410881,-117.138369372,599.60971831
201,60,155,32.75410881,-117.13000514,360.374507042
202,60,156,32.75410881,-117.121640908,372.0
203,60,157,32.75410881,-117.113276676,275.0
204,60,158,32.75410881,-117.104912444,207.238591549
205,60,159,32.75410881,-117.096548212,378.154225352
206,60,160,32.75410881,-117.08818398,154.502605634
207,60,161,32.75410881,-117.079819748,127.0
208,60,162,32.75410881,-117.071455516,369.0
209,60,163,32.75410881,-117.063091284,105.0
210,60,164,32.75410881,-117.054727052,12.0
211,60,168,32.75410881,-117.021270124,40.0
212,61,140,32.7650106235,-117.25546862,294.406549296
213,61,146,32.7650106235,-117.205283228,163.0
214,61,147,32.7650106235,-117.196918996,54.0
215,61,148,32.7650106235,-117.188554764,12.0
216,61,149,32.7650106235,-117.180190532,35.0
217,61,150,32.7650106235,-117.1718263,286.0
218,61,151,32.7650106235,-117.163462068,616.0
219,61,152,32.7650106235,-117.155097836,358.0
220,61,153,32.7650106235,-117.146733604,287.0
221,61,154,32.7650106235,-117.138369372,78.0
222,61,158,32.7650106235,-117.104912444,12.0
223,61,159,32.7650106235,-117.096548212,12.0
224,61,161,32.7650106235,-117.079819748,27.1337323944
225,61,162,32.7650106235,-117.071455516,294.883309859
226,61,163,32.7650106235,-117.063091284,164.0
227,61,164,32.7650106235,-117.054727052,194.0
228,61,165,32.7650106235,-117.04636282,87.0
229,61,166,32.7650106235,-117.037998588,12.0
230,61,168,32.7650106235,-117.021270124,40.0
231,62,140,32.775912437,-117.25546862,216.0
232,62,142,32.775912437,-117.238740156,12.0
233,62,145,32.775912437,-117.21364746,106.0
234,62,146,32.775912437,-117.205283228,47.0
235,62,149,32.775912437,-117.180190532,12.0
236,62,150,32.775912437,-117.1718263,116.0
237,62,151,32.775912437,-117.163462068,12.0
238,62,152,32.775912437,-117.155097836,36.0
239,62,153,32.775912437,-117.146733604,24.0
240,62,154,32.775912437,-117.138369372,24.0
241,62,155,32.775912437,-117.13000514,129.0
242,62,156,32.775912437,-117.121640908,158.0
243,62,157,32.775912437,-117.113276676,116.0
244,62,158,32.775912437,-117.104912444,316.0
245,62,163,32.775912437,-117.063091284,70.0
246,62,168,32.775912437,-117.021270124,23.0
247,62,169,32.775912437,-117.012905892,320.0
248,63,139,32.7868142505,-117.263832852,135.0
249,63,140,32.7868142505,-117.25546862,810.0
250,63,141,32.7868142505,-117.247104388,12.0
251,63,142,32.7868142505,-117.238740156,100.0
252,63,145,32.7868142505,-117.21364746,35.0
253,63,147,32.7868142505,-117.196918996,123.0
254,63,149,32.7868142505,-117.180190532,12.0
255,63,150,32.7868142505,-117.1718263,30.0
256,63,151,32.7868142505,-117.163462068,24.0
257,63,152,32.7868142505,-117.155097836,12.0
258,63,155,32.7868142505,-117.13000514,12.0
259,63,158,32.7868142505,-117.104912444,563.0
260,63,160,32.7868142505,-117.08818398,78.0
261,63,163,32.7868142505,-117.063091284,12.0
262,63,168,32.7868142505,-117.021270124,12.0
263,63,170,32.7868142505,-117.00454166,312.0
264,63,172,32.7868142505,-116.987813196,389.0
265,64,139,32.797716064,-117.263832852,212.0
266,64,140,32.797716064,-117.25546862,388.0
267,64,141,32.797716064,-117.247104388,400.0
268,64,142,32.797716064,-117.238740156,341.0
269,64,143,32.797716064,-117.230375924,18.0
270,64,144,32.797716064,-117.222011692,154.0
271,64,145,32.797716064,-117.21364746,12.0
272,64,148,32.797716064,-117.188554764,23.0
273,64,151,32.797716064,-117.163462068,171.0
274,64,152,32.797716064,-117.155097836,24.0
275,64,153,32.797716064,-117.146733604,180.0
276,64,156,32.797716064,-117.121640908,53.0
277,64,161,32.797716064,-117.079819748,30.0
278,64,165,32.797716064,-117.04636282,94.0
279,64,168,32.797716064,-117.021270124,60.0
280,64,169,32.797716064,-117.012905892,107.0
281,64,172,32.797716064,-116.987813196,40.0
282,64,175,32.797716064,-116.9627205,18.0
283,64,178,32.797716064,-116.937627804,12.0
284,65,138,32.8086178775,-117.272197084,134.0
285,65,139,32.8086178775,-117.263832852,42.0
286,65,144,32.8086178775,-117.222011692,82.0
287,65,146,32.8086178775,-117.205283228,35.0
288,65,148,32.8086178775,-117.188554764,82.0
289,65,149,32.8086178775,-117.180190532,93.0
290,65,151,32.8086178775,-117.163462068,180.0
291,65,152,32.8086178775,-117.155097836,523.0
292,65,153,32.8086178775,-117.146733604,59.0
293,65,155,32.8086178775,-117.13000514,12.0
294,65,156,32.8086178775,-117.121640908,243.0
295,65,158,32.8086178775,-117.104912444,12.0
296,65,162,32.8086178775,-117.071455516,12.0
297,65,168,32.8086178775,-117.021270124,12.0
298,66,137,32.819519691,-117.280561316,53.0
299,66,143,32.819519691,-117.230375924,24.0
300,66,144,32.819519691,-117.222011692,24.0
301,66,145,32.819519691,-117.21364746,64.0
302,66,146,32.819519691,-117.205283228,122.0
303,66,148,32.819519691,-117.188554764,178.0
304,66,149,32.819519691,-117.180190532,346.0
305,66,150,32.819519691,-117.1718263,12.0
306,66,151,32.819519691,-117.163462068,696.0
307,66,152,32.819519691,-117.155097836,687.0
308,66,153,32.819519691,-117.146733604,88.0
309,66,154,32.819519691,-117.138369372,77.0
310,66,155,32.819519691,-117.13000514,130.0
311,66,156,32.819519691,-117.121640908,23.0
312,66,158,32.819519691,-117.104912444,303.0
313,66,172,32.819519691,-116.987813196,34.0
314,66,179,32.819519691,-116.929263572,24.0
315,67,137,32.8304215045,-117.280561316,386.0
316,67,138,32.8304215045,-117.272197084,42.0
317,67,144,32.8304215045,-117.222011692,12.0
318,67,145,32.8304215045,-117.21364746,23.0
319,67,146,32.8304215045,-117.205283228,129.0
320,67,147,32.8304215045,-117.196918996,59.0
321,67,148,32.8304215045,-117.188554764,53.0
322,67,149,32.8304215045,-117.180190532,191.0
323,67,150,32.8304215045,-117.1718263,117.0
324,67,151,32.8304215045,-117.163462068,299.0
325,67,152,32.8304215045,-117.155097836,440.0
326,67,153,32.8304215045,-117.146733604,124.0
327,67,154,32.8304215045,-117.138369372,317.0
328,67,155,32.8304215045,-117.13000514,328.0
329,67,156,32.8304215045,-117.121640908,54.0
330,67,158,32.8304215045,-117.104912444,112.0
331,67,172,32.8304215045,-116.987813196,80.0
332,67,199,32.8304215045,-116.761978932,23.0
333,68,137,32.841323318,-117.280561316,798.0
334,68,138,32.841323318,-117.272197084,217.0
335,68,140,32.841323318,-117.25546862,12.0
336,68,144,32.841323318,-117.222011692,35.0
337,68,150,32.841323318,-117.1718263,24.0
338,68,178,32.841323318,-116.937627804,18.0
339,69,139,32.8522251315,-117.263832852,198.0
340,69,140,32.8522251315,-117.25546862,65.0
341,69,143,32.8522251315,-117.230375924,105.0
342,69,144,32.8522251315,-117.222011692,36.0
343,69,146,32.8522251315,-117.205283228,82.0
344,69,148,32.8522251315,-117.188554764,23.0
345,69,170,32.8522251315,-117.00454166,12.0
346,69,178,32.8522251315,-116.937627804,12.0
347,69,188,32.8522251315,-116.853985484,12.0
348,70,142,32.863126945,-117.238740156,323.0
349,70,143,32.863126945,-117.230375924,88.0
350,70,144,32.863126945,-117.222011692,357.0
351,70,145,32.863126945,-117.21364746,567.0
352,70,146,32.863126945,-117.205283228,12.0
353,70,173,32.863126945,-116.979448964,12.0
354,71,141,32.8740287585,-117.247104388,18.0
355,71,142,32.8740287585,-117.238740156,162.0
356,71,143,32.8740287585,-117.230375924,24.0
357,71,144,32.8740287585,-117.222011692,12.0
358,71,145,32.8740287585,-117.21364746,96.0
359,71,146,32.8740287585,-117.205283228,12.0
360,71,148,32.8740287585,-117.188554764,12.0
361,71,150,32.8740287585,-117.1718263,285.0
362,71,151,32.8740287585,-117.163462068,140.0
363,71,152,32.8740287585,-117.155097836,23.0
364,72,141,32.884930572,-117.247104388,113.0
365,72,142,32.884930572,-117.238740156,35.0
366,72,143,32.884930572,-117.230375924,18.0
367,72,144,32.884930572,-117.222011692,12.0
368,72,146,32.884930572,-117.205283228,296.0
369,72,147,32.884930572,-117.196918996,35.0
370,72,148,32.884930572,-117.188554764,12.0
371,72,149,32.884930572,-117.180190532,12.0
372,72,150,32.884930572,-117.1718263,30.0
373,72,151,32.884930572,-117.163462068,42.0
374,72,152,32.884930572,-117.155097836,59.0
375,72,153,32.884930572,-117.146733604,12.0
376,72,154,32.884930572,-117.138369372,46.0
377,72,155,32.884930572,-117.13000514,226.0
378,72,156,32.884930572,-117.121640908,70.0
379,73,141,32.8958323855,-117.247104388,46.0
380,73,143,32.8958323855,-117.230375924,70.0
381,73,144,32.8958323855,-117.222011692,12.0
382,73,145,32.8958323855,-117.21364746,18.0
383,73,146,32.8958323855,-117.205283228,54.0
384,73,147,32.8958323855,-117.196918996,165.0
385,73,148,32.8958323855,-117.188554764,12.0
386,73,149,32.8958323855,-117.180190532,293.0
387,73,150,32.8958323855,-117.1718263,23.0
388,73,154,32.8958323855,-117.138369372,42.0
389,73,155,32.8958323855,-117.13000514,35.0
390,73,156,32.8958323855,-117.121640908,99.0
391,73,157,32.8958323855,-117.113276676,12.0
392,73,158,32.8958323855,-117.104912444,70.0
393,74,141,32.906734199,-117.247104388,12.0
394,74,142,32.906734199,-117.238740156,42.0
395,74,143,32.906734199,-117.230375924,12.0
396,74,147,32.906734199,-117.196918996,12.0
397,74,148,32.906734199,-117.188554764,23.0
398,74,149,32.906734199,-117.180190532,30.0
399,74,150,32.906734199,-117.1718263,18.0
400,74,152,32.906734199,-117.155097836,200.0
401,74,153,32.906734199,-117.146733604,393.0
402,74,154,32.906734199,-117.138369372,142.0
403,74,155,32.906734199,-117.13000514,162.0
404,74,156,32.906734199,-117.121640908,269.0
405,74,157,32.906734199,-117.113276676,128.0
406,74,161,32.906734199,-117.079819748,30.0
407,75,141,32.9176360125,-117.247104388,23.0
408,75,142,32.9176360125,-117.238740156,18.0
409,75,144,32.9176360125,-117.222011692,106.0
410,75,150,32.9176360125,-117.1718263,12.0
411,75,153,32.9176360125,-117.146733604,71.0
412,75,154,32.9176360125,-117.138369372,12.0
413,75,155,32.9176360125,-117.13000514,234.0
414,75,156,32.9176360125,-117.121640908,81.0
415,76,140,32.928537826,-117.25546862,115.0
416,76,141,32.928537826,-117.247104388,23.0
417,76,142,32.928537826,-117.238740156,147.0
418,76,143,32.928537826,-117.230375924,18.0
419,76,153,32.928537826,-117.146733604,12.0
420,76,157,32.928537826,-117.113276676,35.0
421,76,158,32.928537826,-117.104912444,303.0
422,76,166,32.928537826,-117.037998588,12.0
423,77,140,32.9394396395,-117.25546862,23.0
424,77,141,32.9394396395,-117.247104388,99.0
425,77,143,32.9394396395,-117.230375924,12.0
426,77,144,32.9394396395,-117.222011692,18.0
427,77,146,32.9394396395,-117.205283228,23.0
428,77,157,32.9394396395,-117.113276676,12.0
429,77,158,32.9394396395,-117.104912444,35.0
430,77,159,32.9394396395,-117.096548212,12.0
431,77,160,32.9394396395,-117.08818398,65.0
432,78,141,32.950341453,-117.247104388,35.0
433,78,142,32.950341453,-117.238740156,344.0
434,78,143,32.950341453,-117.230375924,59.0
435,78,146,32.950341453,-117.205283228,12.0
436,78,151,32.950341453,-117.163462068,18.0
437,78,155,32.950341453,-117.13000514,211.0
438,78,156,32.950341453,-117.121640908,142.0
439,78,157,32.950341453,-117.113276676,100.0
440,78,162,32.950341453,-117.071455516,12.0
441,78,163,32.950341453,-117.063091284,12.0
442,79,147,32.9612432665,-117.196918996,124.0
443,79,151,32.9612432665,-117.163462068,23.0
444,79,152,32.9612432665,-117.155097836,83.0
445,79,156,32.9612432665,-117.121640908,30.0
446,79,159,32.9612432665,-117.096548212,53.0
447,80,139,32.97214508,-117.263832852,23.0
448,80,140,32.97214508,-117.25546862,129.0
449,80,160,32.97214508,-117.08818398,303.0
450,80,161,32.97214508,-117.079819748,317.0
451,80,162,32.97214508,-117.071455516,12.0
452,80,166,32.97214508,-117.037998588,12.0
453,81,138,32.9830468935,-117.272197084,18.0
454,81,143,32.9830468935,-117.230375924,23.0
455,81,147,32.9830468935,-117.196918996,23.0
456,81,151,32.9830468935,-117.163462068,12.0
457,81,159,32.9830468935,-117.096548212,12.0
458,81,161,32.9830468935,-117.079819748,129.0
459,81,162,32.9830468935,-117.071455516,23.0
460,82,159,32.993948707,-117.096548212,88.0
461,82,163,32.993948707,-117.063091284,48.0
462,82,170,32.993948707,-117.00454166,4.5685915493
463,83,157,33.0048505205,-117.113276676,41.0
464,83,159,33.0048505205,-117.096548212,30.0
465,83,161,33.0048505205,-117.079819748,147.0
466,83,180,33.0048505205,-116.92089934,18.0
467,84,155,33.015752334,-117.13000514,59.0
468,84,156,33.015752334,-117.121640908,47.0
469,84,157,33.015752334,-117.113276676,47.0
470,84,158,33.015752334,-117.104912444,18.0
471,84,159,33.015752334,-117.096548212,12.0
472,84,160,33.015752334,-117.08818398,58.0
473,84,161,33.015752334,-117.079819748,677.0
474,84,163,33.015752334,-117.063091284,53.0
475,84,183,33.015752334,-116.895806644,23.0
476,85,152,33.0266541475,-117.155097836,12.0
477,85,157,33.0266541475,-117.113276676,18.0
478,85,160,33.0266541475,-117.08818398,12.0
479,85,161,33.0266541475,-117.079819748,23.0
480,87,140,33.0484577745,-117.25546862,12.0
481,88,138,33.059359588,-117.272197084,12.0
482,88,192,33.059359588,-116.820528556,12.0
483,89,134,33.0702614015,-117.305654012,12.0
484,92,140,33.102966842,-117.25546862,12.0
485,93,157,33.1138686555,-117.113276676,12.0
486,94,150,33.124770469,-117.1718263,23.0
487,95,146,33.1356722825,-117.205283228,12.0
488,95,160,33.1356722825,-117.08818398,12.0
489,99,133,33.1792795365,-117.314018244,12.0
490,100,143,33.19018135,-117.230375924,12.0
491,118,140,33.386413993,-117.25546862,12.0
492,118,142,33.386413993,-117.238740156,12.0
493,127,157,33.4845303145,-117.113276676,12.0
494,145,149,33.6807629575,-117.180190532,12.0
495,151,34,33.7461738385,-118.142077212,18.0
496,156,52,33.800682906,-117.991521036,18.0
497,160,60,33.84429016,-117.92460718,24.0
498,174,129,33.996915549,-117.347475172,23.0
499,178,94,34.040522803,-117.640223292,12.0
500,200,0,,,12.0
