,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
0,c r e a m,92115-1939,3,25,20,18,5,Only Food,32.767243,-117.0962939,70
1,snow cones y raspados,92113-2911,3,25,20,18,5,Only Food,32.6979744,-117.0962499,70
2,jalapeno taco shop,92104-2047,7,28,25,35,25,Food & Drinks,32.748682699999996,-117.1269679,119
3,tacos el campechano inc,91950-1121,3,25,20,18,5,Only Food,32.6979744,-117.0962499,70
4,up2you cafe llc,92111-5000,3,25,20,18,5,Only Food,32.71837,-117.15781670000001,70
5,awash ethiopian restaurant,92104-1102,7,28,25,35,25,Food & Drinks,32.6770792,-117.1071669,119
6,gueros taco shop,92102-4019,3,25,20,18,5,Only Food,32.890136600000005,-117.15087749999999,70
7,the fire spot,92111-2315,7,28,25,35,25,Food & Drinks,32.773068800000004,-117.1561443,119
8,up2you cafe llc,92111-1545,27,6,3,27,30,Only Drinks,33.016118,-117.07560819999999,93
9,cold beers & cheeseburgers,92101-6910,7,28,25,35,25,Food & Drinks,32.7087909,-117.16035719999999,119
10,veggilish fresh and healthy,92101-5310,27,6,3,27,30,Only Drinks,33.803196,-117.99133700000002,93
11,2good2b llc,92128-2537,27,6,3,27,30,Only Drinks,32.8483685,-116.93399550000001,93
12,broken yolk cafe,92014-3110,7,28,25,35,25,Food & Drinks,32.7641442,-117.1195817,119
13,saigon on fifth,92103-3121,7,28,25,35,25,Food & Drinks,33.999809899999995,-117.34609099999999,119
14,mcdonalds,92128-4604,3,25,20,18,5,Only Food,32.7151109,-117.16776999999999,70
15,wtf waffles llc,91914-4036,3,25,20,18,5,Only Food,32.7107619,-117.1604031,70
16,spice & soul,92117-4403,7,28,25,35,25,Food & Drinks,32.814068199999994,-117.2166034,119
17,sushi diner 2,92120-2300,7,28,25,35,25,Food & Drinks,32.6173377,-117.0270797,119
18,waypoint public del sur,92127-4201,7,28,25,35,25,Food & Drinks,32.7280335,-117.16225690000002,119
19,san diego poke company,92116-2402,3,25,20,18,5,Only Food,32.741777,-117.25057,70
20,mary's mexican food,91911-5820,3,25,20,18,5,Only Food,32.8712569,-117.2097355,70
21,el patron traditional mexican grill inc,92126-4871,7,28,25,35,25,Food & Drinks,32.752660399999996,-117.19690729999999,119
22,a & j food service inc,92101-5604,27,6,3,27,30,Only Drinks,32.8594433,-117.22101709999998,93
23,mcdonalds 24113,92108-2717,27,6,3,27,30,Only Drinks,32.783556899999994,-117.12796370000001,93
24,mcdonalds 36374,92128-2524,27,6,3,27,30,Only Drinks,33.0132209,-117.0786021,93
25,tacul mexican cocina,92109-3596,7,28,25,35,25,Food & Drinks,32.8011793,-117.2330946,119
26,tango latin american flavors,92106-6163,3,25,20,18,5,Only Food,32.740154499999996,-117.2111952,70
27,rigobertos taco shop,92109-2905,7,28,25,35,25,Food & Drinks,32.7984957,-117.24847620000001,119
28,colima's mexican food at university inc,92104-2720,7,28,25,35,25,Food & Drinks,32.7486284,-117.1398601,119
29,fatty matty's mobile pizza & catering,92028-1518,3,25,20,18,5,Only Food,33.389067600000004,-117.2509928,70
30,ob surf lodge,92107-2884,7,28,25,35,25,Food & Drinks,32.7483221,-117.2519883,119
31,ob surf lodge,92107-2884,7,28,25,35,25,Food & Drinks,32.7483221,-117.2519883,119
32,olive and basil llc,92037-4161,7,28,25,35,25,Food & Drinks,32.848207,-117.27452029999999,119
33,el paso cafe,92113-1315,3,25,20,18,5,Only Food,32.704762,-117.1296878,70
34,gourmet artisan fresh food llc,92121-2311,3,25,20,18,5,Only Food,32.8799798,-117.1621159,70
35,panamericano hospitality llc,92103-1820,7,28,25,35,25,Food & Drinks,32.7502359,-117.17120120000001,119
36,tuk tuk one thai,92105-3745,7,28,25,35,25,Food & Drinks,32.737487699999996,-117.07904740000002,119
37,pho little saigon,92110-4921,7,28,25,35,25,Food & Drinks,32.7504135,-117.2133338,119
38,paru tea bar,92101-1931,27,6,3,27,30,Only Drinks,32.7265532,-117.16457779999999,93
39,kebena ethiopian restaurant llc,92103-3118,7,28,25,35,25,Food & Drinks,32.7485561,-117.15974609999999,119
40,coopers cafe and market place,92037-3230,27,6,3,27,30,Only Drinks,32.853603299999996,-117.25424650000001,93
41,cruz ice,92065-6100,3,25,20,18,5,Only Food,33.066257,-116.81770300000001,70
42,luna's ice cream,91950-3224,3,25,20,18,5,Only Food,32.67295,-117.10891200000002,70
43,tona entertainments inc,92111-2254,7,28,25,35,25,Food & Drinks,32.8223555,-117.15808870000001,119
44,nozaru,92111-2254,7,28,25,35,25,Food & Drinks,32.8223555,-117.15808870000001,119
45,logan inn,92113-2203,7,28,25,35,25,Food & Drinks,32.698513500000004,-117.1403722,119
46,project reo collective,92139-3000,3,25,20,18,5,Only Food,32.6760919,-117.06469579999998,70
47,seed and sprout,92110-2943,27,6,3,27,30,Only Drinks,32.7478592,-117.19167720000002,93
48,bar bodega,92101-2270,7,28,25,35,25,Food & Drinks,32.7247484,-117.1699327,119
49,senor taquero 2,92128-5600,3,25,20,18,5,Only Food,32.945167100000006,-117.0848387,70
50,cafe dell alba,92101-4207,3,25,20,18,5,Only Food,32.718299,-117.1606397,70
51,sd szechuan house inc,92126-4816,7,28,25,35,25,Food & Drinks,32.9166193,-117.1234299,119
52,jack in the box #69,92128-2509,3,25,20,18,5,Only Food,33.0176698,-117.07529440000002,70
53,momas ice cream,92105-4733,3,25,20,18,5,Only Food,32.7335178,-117.09897209999998,70
54,taco tuesday,91911-5820,3,25,20,18,5,Only Food,32.59347,-117.0533094,70
55,erik's deli fruits,92102,3,25,20,18,5,Only Food,32.7112918,-117.1361895,70
56,joe's crab shack,92108-4536,7,28,25,35,25,Food & Drinks,32.771044399999994,-117.1579787,119
57,paragon deli cafe,92106-2731,3,25,20,18,5,Only Food,32.7212121,-117.2285193,70
58,high dive grill,92110-3600,3,25,20,18,5,Only Food,32.7791808,-117.20730049999999,70
59,pga tour grill t2,92101-1096,27,6,3,27,30,Only Drinks,32.733132899999994,-117.2011817,93
60,host scr san fb llc,92101-1095,27,6,3,27,30,Only Drinks,32.7304629,-117.1917902,93
61,craft brews on 30th street t1 east,92101-1095,27,6,3,27,30,Only Drinks,32.7304629,-117.1917902,93
62,ohana cupcakes,92128-4618,3,25,20,18,5,Only Food,32.9779799,-117.0842348,70
63,unni banh mi & food to go,92115-4725,3,25,20,18,5,Only Food,32.756415999999994,-117.08296499999999,70
64,domenic de lucas pizza,92104-4746,3,25,20,18,5,Only Food,32.739397600000004,-117.12449109999999,70
65,la perla cocina mexicana #2,92109-4503,3,25,20,18,5,Only Food,32.7993503,-117.2351128,70
66,circle 9 brewing,92111-2223,27,6,3,27,30,Only Drinks,32.8257334,-117.1609048,93
67,la carreta de m rutilio zayas v,92154-1544,3,25,20,18,5,Only Food,32.581700399999995,-117.0647117,70
68,sharetea,92131-1005,3,25,20,18,5,Only Food,32.9166777,-117.11391299999998,70
69,host scr san fb llc,92101-1096,27,6,3,27,30,Only Drinks,32.733132899999994,-117.2011817,93
70,steak n fries,92109-2834,3,25,20,18,5,Only Food,32.7974211,-117.2509077,70
71,freeze san diego,92111-3747,3,25,20,18,5,Only Food,32.8146899,-117.154474,70
72,starbucks coffee#50383,92117-6802,3,25,20,18,5,Only Food,32.794366100000005,-117.19366979999998,70
73,the food shop,92101-6911,3,25,20,18,5,Only Food,32.710236699999996,-117.1601166,70
74,cafe gai dep,92105,3,25,20,18,5,Only Food,32.7495491,-117.0889048,70
75,marion crepe,92111-3777,7,28,25,35,25,Food & Drinks,32.8185909,-117.15018020000001,119
76,musashiya,92111-3777,7,28,25,35,25,Food & Drinks,32.8185909,-117.15018020000001,119
77,souplantation,92111-1002,7,28,25,35,25,Food & Drinks,32.8321694,-117.16423300000001,119
78,souplantation,92128-2004,7,28,25,35,25,Food & Drinks,33.0260531,-117.07522879999999,119
79,the go go truck,92116-4180,3,25,20,18,5,Only Food,32.7582665,-117.1404541,70
80,la gracia,92102-3318,3,25,20,18,5,Only Food,32.711545,-117.1225504,70
81,jack in the box,92014-3100,7,28,25,35,25,Food & Drinks,32.9492369,-117.24630890000002,119
82,el patron mexican food,92113-2518,3,25,20,18,5,Only Food,32.6993055,-117.1285033,70
83,r g d & associates inc,92104-2232,3,25,20,18,5,Only Food,32.7499186,-117.1164467,70
84,jack in the box,92131-3917,7,28,25,35,25,Food & Drinks,32.9369207,-117.101018,119
85,jack in the box,92129-2658,7,28,25,35,25,Food & Drinks,32.9585104,-117.1265121,119
86,jack in the box,92103-3205,7,28,25,35,25,Food & Drinks,32.7486256,-117.1572033,119
87,jack in the box,92107-2107,7,28,25,35,25,Food & Drinks,32.7499233,-117.2436122,119
88,sandbox,92109-4117,7,28,25,35,25,Food & Drinks,32.7959117,-117.25102790000001,119
89,torrey club cafe,92037-1021,3,25,20,18,5,Only Food,32.892957,-117.242694,70
90,steamy piggy,92111-2330,27,6,3,27,30,Only Drinks,32.8255416,-117.15436969999999,93
91,tackle my taco,92114-1238,3,25,20,18,5,Only Food,32.71828060000001,-117.0735574,70
92,little sams pizza,92123-2267,7,28,25,35,25,Food & Drinks,32.802291100000005,-117.13980749999999,119
93,le petit bistrot la jolla,92037-4227,7,28,25,35,25,Food & Drinks,32.8464767,-117.2740395,119
94,taqueria al gusto,92115-6251,3,25,20,18,5,Only Food,32.749309999999994,-117.071555,70
95,the rush coffee llc,92078-3808,3,25,20,18,5,Only Food,33.1394049,-117.199248,70
96,malted diner,92126-4252,7,28,25,35,25,Food & Drinks,32.8846046,-117.1525534,119
97,souplantation,92130-2331,7,28,25,35,25,Food & Drinks,32.938045100000004,-117.2312611,119
98,babys burgers,90803-3436,27,6,3,27,30,Only Drinks,33.7555615,-118.1347869,93
99,bean sprouts,92101-6850,7,28,25,35,25,Food & Drinks,32.71066810000001,-117.1651269,119
100,souplantation,92110-5643,7,28,25,35,25,Food & Drinks,32.7552439,-117.2223152,119
101,souplantation,92120-3426,7,28,25,35,25,Food & Drinks,32.7867799,-117.09746480000001,119
102,slaters 50 50,92106-6142,7,28,25,35,25,Food & Drinks,32.737944,-117.2119253,119
103,mariscos los compadres,92105-4223,3,25,20,18,5,Only Food,32.7400523,-117.0973158,70
104,old town yogurt cafe,92110-2825,3,25,20,18,5,Only Food,32.7524178,-117.19549359999999,70
105,ahipoki bowl san diego llc,92110-3225,3,25,20,18,5,Only Food,32.750942699999996,-117.2057777,70
106,ko underground brewery restaurant & bar,92101-4211,7,28,25,35,25,Food & Drinks,32.719161699999994,-117.1604834,119
107,paradise biryani pointe,92126-2738,7,28,25,35,25,Food & Drinks,32.9146031,-117.13004939999999,119
108,lucha's mexican food,91901-7801,7,28,25,35,25,Food & Drinks,32.8349461,-116.75361470000001,119
109,eaton right,92107-1195,27,6,3,27,30,Only Drinks,32.7319623,-117.247722,93
110,r&b crawfish lounge,92111-2317,7,28,25,35,25,Food & Drinks,32.8266692,-117.1558469,119
111,all american burgers,92101-6117,7,28,25,35,25,Food & Drinks,32.7133905,-117.16089290000001,119
112,champs cafe by california dining,92123-1406,3,25,20,18,5,Only Food,32.8272578,-117.14202990000001,70
113,hi poke,92101,27,6,3,27,30,Only Drinks,32.710642699999994,-117.17000379999999,93
114,social hookah lounge,92110-2604,27,6,3,27,30,Only Drinks,32.7656864,-117.1962578,93
115,jack in the box,92101-5605,27,6,3,27,30,Only Drinks,32.7169684,-117.1544505,93
116,the underdawgs,92102-2102,27,6,3,27,30,Only Drinks,32.7165762,-117.13989369999999,93
117,restaurant leadership group llc,92128-2509,3,25,20,18,5,Only Food,33.0176698,-117.07529440000002,70
118,jack in the box,92104-4146,27,6,3,27,30,Only Drinks,32.740869,-117.13013490000002,93
119,jack in the box,92104-1226,27,6,3,27,30,Only Drinks,32.755658399999994,-117.1316988,93
120,kaki japanese food & sushi,92124-1320,7,28,25,35,25,Food & Drinks,32.8302201,-117.104616,119
121,rolando's taco shop iii,92113-2142,7,28,25,35,25,Food & Drinks,32.7014636,-117.14486289999999,119
122,groovy grub,92128-5600,7,28,25,35,25,Food & Drinks,32.945167100000006,-117.0848387,119
123,franks on the run,92102-4709,3,25,20,18,5,Only Food,32.7110619,-117.0948143,70
124,minato,92115-3619,7,28,25,35,25,Food & Drinks,32.7581385,-117.0786757,119
125,vesuvio's pizzeria,92115-2850,7,28,25,35,25,Food & Drinks,32.7674811,-117.055021,119
126,java joes,92110-2746,3,25,20,18,5,Only Food,32.752652000000005,-117.1970061,70
127,loyal deli,92108-1698,3,25,20,18,5,Only Food,32.7770108,-117.14098759999999,70
128,2good2b bakery & cafe,92128-2537,27,6,3,27,30,Only Drinks,33.0197874,-117.07258390000001,93
129,bibigo,92122-1241,3,25,20,18,5,Only Food,32.8712569,-117.2097355,70
130,slices n stuffs pizzeria,92109-6764,3,25,20,18,5,Only Food,32.788437,-117.23759199999999,70
131,nolbertos taco shop,92102-3200,27,6,3,27,30,Only Drinks,32.7120709,-117.12697859999999,93
132,voltaire beach house,92107-2172,7,28,25,35,25,Food & Drinks,32.75151339999999,-117.245205,119
133,tapas & beer llc,92101-6114,7,28,25,35,25,Food & Drinks,32.715011499999996,-117.1630975,119
134,del taco 819,92113-3729,3,25,20,18,5,Only Food,32.693174600000006,-117.1334153,70
135,cafe bella,92107-3112,3,25,20,18,5,Only Food,32.7457484,-117.24981149999999,70
136,grabbagreen,92101-5004,7,28,25,35,25,Food & Drinks,32.715972,-117.1625688,119
137,breakfast republic ocean beach,92107-3110,7,28,25,35,25,Food & Drinks,32.744946999999996,-117.248433,119
138,hugos cocina,92107-3191,7,28,25,35,25,Food & Drinks,32.7437877,-117.2486672,119
139,pho 87,92105-2302,7,28,25,35,25,Food & Drinks,32.7496321,-117.07972720000001,119
140,fruteria disfrutalas,92104-2316,3,25,20,18,5,Only Food,32.7496421,-117.1144299,70
141,la morena mariscos,92113-1320,3,25,20,18,5,Only Food,32.7014738,-117.1292713,70
142,lilac thai kitchen,92124-1320,7,28,25,35,25,Food & Drinks,32.8297207,-117.1041223,119
143,cruiser taco,92104,3,25,20,18,5,Only Food,32.755586,-117.13238059999999,70
144,starbucks coffee #47446,92127-1110,3,25,20,18,5,Only Food,33.033152199999996,-117.08028829999999,70
145,the lot,92106-6172,7,28,25,35,25,Food & Drinks,32.739324800000006,-117.21499840000001,119
146,roma market partners 2 lp,92101-2397,3,25,20,18,5,Only Food,32.7206735,-117.16787620000001,70
147,casa california food truck co,92110-4201,3,25,20,18,5,Only Food,32.742791100000005,-117.20947579999999,70
148,bao beach lp,92109-7139,7,28,25,35,25,Food & Drinks,32.78332460000001,-117.25241609999999,119
149,single fin llc,92121-3930,3,25,20,18,5,Only Food,32.8989512,-117.1800737,70
150,tortas de corazon guisados y grills,92113-1112,3,25,20,18,5,Only Food,32.70549260000001,-117.14051640000001,70
151,tony's fresh mexican food llc,92106-2262,3,25,20,18,5,Only Food,32.7273646,-117.22720220000001,70
152,northshore grinds,92123-4446,3,25,20,18,5,Only Food,32.8141713,-117.11684340000001,70
153,the hopping pig,92101-6918,7,28,25,35,25,Food & Drinks,32.7130723,-117.16037240000001,119
154,tonys fresh mexican food llc,92103-1937,3,25,20,18,5,Only Food,32.749635999999995,-117.1697489,70
155,nautilus tavern,92037-6156,7,28,25,35,25,Food & Drinks,32.8311487,-117.2766987,119
156,blue fourno grill,92103-3170,7,28,25,35,25,Food & Drinks,32.748457,-117.16143629999999,119
157,souplantation / sweet tomatoes,92128,3,25,20,18,5,Only Food,33.0060087,-117.0919108,70
158,pho viet express,92139-3394,3,25,20,18,5,Only Food,32.6769627,-117.03921570000001,70
159,smokin al's bbq,92124-2616,3,25,20,18,5,Only Food,32.8223587,-117.1023205,70
160,the patio express,92103-1856,3,25,20,18,5,Only Food,32.751143400000004,-117.1720269,70
161,wicked maine lobster,92106-6033,7,28,25,35,25,Food & Drinks,32.7401595,-117.21119540000001,119
162,surf rider pizza cafe,92107-2031,7,28,25,35,25,Food & Drinks,32.7522849,-117.24884420000001,119
163,thotsakan thai cuisine,92101-5203,7,28,25,35,25,Food & Drinks,32.7174576,-117.15899180000001,119
164,tasty pot,92126-4816,7,28,25,35,25,Food & Drinks,32.9167016,-117.12324699999999,119
165,grater grilled cheese highlands  llc,92130-2124,7,28,25,35,25,Food & Drinks,32.954084,-117.23050959999999,119
166,el zarape restaurant,92116-1645,7,28,25,35,25,Food & Drinks,32.763169,-117.12480120000001,119
167,idalyas fruteria,92173-3049,3,25,20,18,5,Only Food,32.5438314,-117.04084679999998,70
168,nekter juice bar,92037-1924,3,25,20,18,5,Only Food,32.8693947,-117.23183429999999,70
169,cali streets tacos,92037-7612,3,25,20,18,5,Only Food,32.8130066,-117.26849490000001,70
170,denny's,92123-1105,7,28,25,35,25,Food & Drinks,32.8322348,-117.13782690000001,119
171,denny's,92110-4403,7,28,25,35,25,Food & Drinks,32.7552077,-117.20522549999998,119
172,denny's,92106-2243,7,28,25,35,25,Food & Drinks,32.7276777,-117.2269145,119
173,dennys,92106,7,28,25,35,25,Food & Drinks,32.7295553,-117.2416267,119
174,javier's coffee snacks & drinks,92110-2805,3,25,20,18,5,Only Food,32.7532004,-117.1932378,70
175,saskas restaurant,92109-7136,7,28,25,35,25,Food & Drinks,32.7839407,-117.2529202,119
176,bao beach,92109-7139,3,25,20,18,5,Only Food,32.78332460000001,-117.25241609999999,70
177,blush desserts,92111-1610,3,25,20,18,5,Only Food,32.829521,-117.1525956,70
178,international deli & cafe,92110-2600,3,25,20,18,5,Only Food,32.7653211,-117.1963385,70
179,irma briseno baby,92173-2437,3,25,20,18,5,Only Food,32.556511300000004,-117.04969320000001,70
180,china ann,92110-4543,3,25,20,18,5,Only Food,32.7497411,-117.2089009,70
181,broken yolk cafe,92126-2601,7,28,25,35,25,Food & Drinks,32.9121748,-117.1482091,119
182,the bean counter,92103-6431,3,25,20,18,5,Only Food,32.732766999999996,-117.169478,70
183,rockin burger,92127-2322,3,25,20,18,5,Only Food,33.0048168,-117.09112959999999,70
184,conscious coconuts,92592-3736,3,25,20,18,5,Only Food,33.493747,-117.10576699999999,70
185,sm food management,92111-3748,7,28,25,35,25,Food & Drinks,32.8141393,-117.1539653,119
186,la loma bonita,92105-5203,3,25,20,18,5,Only Food,32.7234106,-117.10671459999999,70
187,wowwok,92121-4743,27,6,3,27,30,Only Drinks,32.8933293,-117.2038493,93
188,poki one n half,92123-1220,7,28,25,35,25,Food & Drinks,32.8306952,-117.12778780000001,119
189,tacos el jefecito,91911-4633,3,25,20,18,5,Only Food,32.593159299999996,-117.07989750000002,70
190,hui an garden,92111-1900,7,28,25,35,25,Food & Drinks,32.8283377,-117.15377609999999,119
191,hive,92111-3761,27,6,3,27,30,Only Drinks,32.8205392,-117.1560108,93
192,whistling duck tavern,92103-7328,7,28,25,35,25,Food & Drinks,32.7487235,-117.1541904,119
193,chi extraordinary kitchen,92116-1313,7,28,25,35,25,Food & Drinks,32.762677399999994,-117.1341689,119
194,zen coffee & deli,92115-4725,7,28,25,35,25,Food & Drinks,32.7571585,-117.0831755,119
195,copa vida cafe llc,92101-8590,3,25,20,18,5,Only Food,32.7151485,-117.1686037,70
196,the fancy fish inc,92126-4849,7,28,25,35,25,Food & Drinks,32.918387100000004,-117.1225405,119
197,harvest taco shop,92123-1221,3,25,20,18,5,Only Food,32.832464,-117.12729250000001,70
198,yesenia's mexican food,92128-4613,3,25,20,18,5,Only Food,32.9828696,-117.0742328,70
199,round table pizza,92110-4570,7,28,25,35,25,Food & Drinks,32.7515554,-117.2062744,119
200,hot dogs tomateros,92113-3430,3,25,20,18,5,Only Food,32.6945372,-117.1016271,70
201,chi town dogszz,92102-1947,3,25,20,18,5,Only Food,32.7191202,-117.143804,70
202,el charro taco shop,92110-4921,7,28,25,35,25,Food & Drinks,32.7504135,-117.2133338,119
203,big mama's backyard bbq,92102-4739,3,25,20,18,5,Only Food,32.709125199999995,-117.09385859999999,70
204,adrian's surf n turf grill,92123-1220,7,28,25,35,25,Food & Drinks,32.8306952,-117.12778780000001,119
205,african spice sambusa,92115,27,6,3,27,30,Only Drinks,32.7534697,-117.0621747,93
206,olala crepes llc,92106-6033,3,25,20,18,5,Only Food,32.7401595,-117.21119540000001,70
207,bowlegged b b que,92102-4647,7,28,25,35,25,Food & Drinks,32.7113127,-117.103601,119
208,jungle java inc,92107-3009,3,25,20,18,5,Only Food,32.7472535,-117.25204409999999,70
209,tasty pot,92111-2331,7,28,25,35,25,Food & Drinks,32.8268733,-117.1551371,119
210,tomatito mexican food,92154-2149,27,6,3,27,30,Only Drinks,32.5763274,-117.068757,93
211,the patio marketplace,92122-1016,27,6,3,27,30,Only Drinks,32.870887100000004,-117.22690890000001,93
212,el sonorense hot dogs,91911-5711,3,25,20,18,5,Only Food,32.5966729,-117.0661865,70
213,noodle hut,92111-2317,27,6,3,27,30,Only Drinks,32.8266692,-117.1558469,93
214,pinpoint cafe,92037-4500,3,25,20,18,5,Only Food,32.8472506,-117.27171259999999,70
215,emily's taco shop &birrieria,91977-4311,3,25,20,18,5,Only Food,32.715396399999996,-116.99699779999999,70
216,officine buona forchetta,92106-6036,7,28,25,35,25,Food & Drinks,32.741498,-117.21165800000001,119
217,the kebab shop,92101-6410,3,25,20,18,5,Only Food,32.711821,-117.15669309999998,70
218,royal garden restaurant,92105-1209,3,25,20,18,5,Only Food,32.754917600000006,-117.10479099999999,70
219,big daddy 's deli,92108-3910,3,25,20,18,5,Only Food,32.7766879,-117.11985,70
220,the kebab shop,92126-4801,7,28,25,35,25,Food & Drinks,32.9190864,-117.1217723,119
221,the kebab shop,92128-2538,7,28,25,35,25,Food & Drinks,33.021492800000004,-117.07271340000001,119
222,the kebab shop,92101-2901,3,25,20,18,5,Only Food,32.7207863,-117.16576909999999,70
223,the kebab shop,92108-1528,3,25,20,18,5,Only Food,32.77067460000001,-117.1502571,70
224,cali banh mi,92111-3731,3,25,20,18,5,Only Food,32.8206349,-117.1546101,70
225,sushi jj & pho noodles,92173-2627,7,28,25,35,25,Food & Drinks,32.5528006,-117.04324579999998,119
226,el pollo loco 3316,92113-3711,3,25,20,18,5,Only Food,32.6925297,-117.1339886,70
227,coffee milano,92109-2970,3,25,20,18,5,Only Food,32.7983658,-117.24909650000001,70
228,mr moto pizza house,92104-3642,27,6,3,27,30,Only Drinks,32.7468421,-117.12979750000001,93
229,tamarindo north park,92104-2934,7,28,25,35,25,Food & Drinks,32.7486815,-117.1311824,119
230,wingstop,92139-3394,3,25,20,18,5,Only Food,32.6769627,-117.03921570000001,70
231,soleluna cafe,92101-3228,3,25,20,18,5,Only Food,32.7204153,-117.15791370000001,70
232,soda & swine liberty,92106-6142,7,28,25,35,25,Food & Drinks,32.737944,-117.2119253,119
233,fork yeah food truck,92111-5340,3,25,20,18,5,Only Food,32.7990323,-117.15866409999998,70
234,babe brewing co,92111,3,25,20,18,5,Only Food,32.766770799999996,-117.1952642,70
235,holy gao,92121-4211,7,28,25,35,25,Food & Drinks,32.90077539999999,-117.1932132,119
236,cafe stems,92111-2318,7,28,25,35,25,Food & Drinks,32.824505,-117.15490759999999,119
237,johnny rockets,92122,3,25,20,18,5,Only Food,32.8712569,-117.2097355,70
238,shelly's deli #2,92113-2636,3,25,20,18,5,Only Food,32.6957935,-117.12514170000001,70
239,cafe 21,92101-6108,3,25,20,18,5,Only Food,32.7138386,-117.1603866,70
240,the forum coffee house,92117-4940,3,25,20,18,5,Only Food,32.8220929,-117.18436059999999,70
241,mendocino farms sandwich market,92037-1921,3,25,20,18,5,Only Food,32.8679719,-117.2327916,70
242,flour  barley,92101-7752,7,28,25,35,25,Food & Drinks,32.710642699999994,-117.17000379999999,119
243,your story,92111-3707,7,28,25,35,25,Food & Drinks,32.8201891,-117.15470990000001,119
244,quan chao cho restaurant,92115-4316,7,28,25,35,25,Food & Drinks,32.7553641,-117.09570159999998,119
245,figaro desserts,92104-3001,3,25,20,18,5,Only Food,32.748234000000004,-117.12972109999998,70
246,don rios mexican food,92129-2934,3,25,20,18,5,Only Food,32.950759999999995,-117.1067709,70
247,la marque llc,92103-5017,27,6,3,27,30,Only Drinks,32.7430429,-117.1606469,93
248,curto depalmo inc,92106-2102,27,6,3,27,30,Only Drinks,32.7304824,-117.2308791,93
249,pipirin holdings inc,92106-3348,27,6,3,27,30,Only Drinks,32.7108159,-117.2424168,93
250,arely french bakery inc,92117-2708,27,6,3,27,30,Only Drinks,32.8320734,-117.2025789,93
251,jmtx llc,92121-3082,27,6,3,27,30,Only Drinks,32.8761583,-117.21086470000002,93
252,o - nami corporation,92108-1523,27,6,3,27,30,Only Drinks,32.7659126,-117.15577350000001,93
253,tatum investment group llc,92106-2017,27,6,3,27,30,Only Drinks,32.7283647,-117.2382743,93
254,cotijas penasquitos inc,92129-2694,27,6,3,27,30,Only Drinks,32.958960999999995,-117.12576899999999,93
255,hsw brothers inc,92104-1500,27,6,3,27,30,Only Drinks,32.755594300000006,-117.11504679999999,93
256,farooqi food group inc,92120-4008,27,6,3,27,30,Only Drinks,32.784659000000005,-117.0980572,93
257,kitchen 4140 san diego inc,92117-5293,27,6,3,27,30,Only Drinks,32.815087,-117.219451,93
258,a & s industries inc,92111-1558,27,6,3,27,30,Only Drinks,32.8314173,-117.1550676,93
259,euclid beverage company llc,92108-3820,27,6,3,27,30,Only Drinks,32.770596000000005,-117.13466799999999,93
260,regal griffin llc,92110-1549,27,6,3,27,30,Only Drinks,32.7719176,-117.20231470000002,93
261,pour sports llc,92127-2357,27,6,3,27,30,Only Drinks,33.0048168,-117.09112959999999,93
262,matuas sushi bar & islander grill inc,92113-1009,7,28,25,35,25,Food & Drinks,32.7039164,-117.14947450000001,119
263,phantom lounge and nightclub llc,92101-5114,27,6,3,27,30,Only Drinks,32.7159779,-117.1604118,93
264,buddys diner inc,92109-3016,27,6,3,27,30,Only Drinks,32.7997162,-117.24129270000002,93
265,mayur llc,92110-2835,27,6,3,27,30,Only Drinks,32.7506702,-117.1932472,93
266,lake willows enterprises llc,92126-2624,7,28,25,35,25,Food & Drinks,32.913852,-117.14600800000001,119
267,dragon style buffet,92128-2509,7,28,25,35,25,Food & Drinks,33.0191705,-117.07405729999999,119
268,rockin baja lobster mira mesa,92126-2637,27,6,3,27,30,Only Drinks,32.9122226,-117.14714099999999,93
269,goal keeper restaurant,92120-4011,3,25,20,18,5,Only Food,32.7836738,-117.1013072,70
270,mae ploy thai cuisine,92128-2546,7,28,25,35,25,Food & Drinks,33.0175522,-117.07375649999999,119
271,subway 744,92120-3426,3,25,20,18,5,Only Food,32.7867799,-117.09746480000001,70
272,coffee hub & cafe,92106-2744,27,6,3,27,30,Only Drinks,32.7218283,-117.23046140000001,93
273,subway 39778,92115-3904,3,25,20,18,5,Only Food,32.7624216,-117.06647,70
274,kyrios frutas y mariscos,92104-1428,3,25,20,18,5,Only Food,32.7549528,-117.1207638,70
275,yummy's ice cream / m m ice cream,91950-3224,3,25,20,18,5,Only Food,32.67295,-117.10891200000002,70
276,trade winds tavern,92111-2229,7,28,25,35,25,Food & Drinks,32.8212614,-117.1559382,119
277,a southern rose and catering,92105-6718,27,6,3,27,30,Only Drinks,32.7279482,-117.1011375,93
278,mucha fruta,92105-2012,3,25,20,18,5,Only Food,32.7497251,-117.09097849999999,70
279,royal grill kabob,92108-2101,7,28,25,35,25,Food & Drinks,32.784427,-117.11133429999998,119
280,bird rock coffee roasters,92101-1738,3,25,20,18,5,Only Food,32.7279405,-117.1708156,70
281,subway #43414,92123-1422,3,25,20,18,5,Only Food,32.8310642,-117.13839890000001,70
282,ihop #3548,92128-2509,7,28,25,35,25,Food & Drinks,33.018002100000004,-117.0746683,119
283,fruteria la buga,92115-6300,3,25,20,18,5,Only Food,32.7499763,-117.0684368,70
